covariate,exp(coef)
CREB3L3,5.867132827056644
PTEN,3.2440308355806855
PIK3R2,5.990208317598421
SLC27A6,5.474242550096397
PPARGC1B,5.057889367634071
NR1H2,4.216971683932432
