covariate,exp(coef)
NR1H2,4.2169716839324325
PPARGC1B,5.057889367634071
PTEN,3.244030835580686
PIK3R2,5.9902083175984195
SLC27A6,5.474242550096396
CREB3L3,5.867132827056642
