"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-0.115824433191239,5.91964232888393,-6.11018373369377,1.79265353173581e-09,3.26527161876595e-05,11.0931896883449,"IDUA"
-0.0931926747485337,6.19099416032802,-5.93875033007668,4.86917927045325e-09,3.26527161876595e-05,9.80285154777141,"NPEPL1"
-0.354140916606149,4.91376798538956,-5.97005216567796,4.06435619048139e-09,3.26527161876595e-05,9.59788884948254,"ZAP70"
-0.0781679514034304,5.99341693759065,-5.81360352976498,9.94708207369995e-09,5.00288492896739e-05,9.35041946447795,"MYO19"
-0.0933198487316984,6.11052512960777,-5.68871515968533,2.00328891107332e-08,8.06043326259459e-05,8.51205442402734,"C1orf63"
-0.102409806597911,6.08958046318982,-5.6253340014269,2.8439130221633e-08,9.53564036331355e-05,8.20779628413354,"NSUN5P2"
-0.189809119140651,5.58070487931741,-5.49492850760605,5.78721883682959e-08,0.000145534085699172,7.95412034332129,"LIME1"
-0.140777954396931,5.55437492442278,-5.44632712504791,7.51445692620241e-08,0.00015117584444134,7.70911852369725,"ZGLP1"
-0.125551471778532,5.84275619835389,-5.45069590047886,7.34068388120007e-08,0.00015117584444134,7.61441426134555,"NSUN5P1"
-0.0975842875501378,6.41485318904193,-5.57050047990237,3.84064386766885e-08,0.000110380104756803,7.59035473099052,"NEAT1"
-0.270260450562692,4.96071180931031,-5.40178232643191,9.53031621948417e-08,0.00017430081973053,7.05538357847264,"LOC100131434"
-0.0697815690746317,5.88992789437926,-5.34922988074378,1.25876761673015e-07,0.00021103239094481,7.03784995053566,"SEPT7P2"
-0.145142356731129,5.53682932418531,-5.30490475198023,1.58886116448779e-07,0.000227713191623584,7.00737496664461,"C6orf26"
-0.0783544134651164,5.88802755901678,-5.29222158245896,1.69783172997005e-07,0.000227713191623584,6.75195159708532,"SCML1"
-0.0898933063646279,6.02835562312796,-5.31920098944441,1.47415483667311e-07,0.000227713191623584,6.68673608361519,"CSAD"
-0.165327133995515,5.53500324243271,-5.23697907183138,2.2630244416819e-07,0.000269716303414216,6.67926753502541,"LAT"
-0.145584068037736,5.60281874691025,-5.21201452005579,2.57465808310401e-07,0.000269716303414216,6.55397912040385,"TNFRSF6B"
-0.0727986233164817,6.03854942005754,-5.17867941902231,3.05619797253019e-07,0.000292783765768392,5.97548979754295,"ZNF767"
-0.0857318611746374,6.25857444870364,-5.22016398051004,2.4686185367463e-07,0.000269716303414216,5.90634880500131,"PILRB"
-0.0573848948748168,6.42513739229249,-5.20413707535736,2.68134310979437e-07,0.000269716303414216,5.68670281786539,"ARGLU1"
-0.46301731096151,4.48671682609331,-5.22771284164314,2.37417592047873e-07,0.000269716303414216,5.6560158475135,"FER1L4"
-0.208638057810157,5.56944505813135,-5.02003020628646,6.82305379169436e-07,0.000549064784725228,5.65361367951638,"ACCS"
-0.0531798995502992,5.9279725980569,-5.06146526715674,5.54337347348515e-07,0.000484876467563366,5.56027994147018,"KIAA1841"
-0.0905355608476262,6.1324808395373,-5.11016938839468,4.33448463519092e-07,0.000396368917685322,5.49212268329176,"AHSA2"
0.0735900760066457,5.93883333674986,5.04837339413872,5.92029835809898e-07,0.000496269009867647,5.41179140085934,"TAF3"
-0.151073820349147,5.21628335794313,-4.95046430910394,9.63833292567085e-07,0.000718162895550542,5.25863545179404,"LOC100130015"
-0.0848191103018969,5.95832589502136,-4.96299789930201,9.05950221546388e-07,0.000700996406041163,5.04526848806603,"ATAD3B"
-0.176277157429224,5.83296910631271,-4.91276692776328,1.16025171462393e-06,0.00080879125102112,5.04035526425147,"PABPC1L"
-0.164925652622445,5.57426888536828,-4.8850421346278,1.32879530277146e-06,0.000834444391166314,5.02513801030998,"ITIH4"
-0.199352738066991,5.19437290393039,-4.82964711043979,1.73900654315411e-06,0.000921337843213677,4.71953094544085,"LOC100272228"
-0.0842296939990117,5.76334804165934,-4.83987392277831,1.65506750920219e-06,0.000921337843213677,4.6819749130055,"PLEKHM1P"
-0.0746179378098324,6.12190340868387,-4.91178204357704,1.16586868871719e-06,0.00080879125102112,4.56716429445981,"SULT1A3"
-0.156875623393162,5.26045574132509,-4.77773939182298,2.2323152786912e-06,0.0010206754267434,4.52556137195007,"FBXL8"
-0.0713920955782505,5.99556272097511,-4.86476218751697,1.46678326917653e-06,0.000850889002921682,4.50550156411054,"LOC146880"
-0.0363848298015466,5.90666625919522,-4.82949632892595,1.74027428383138e-06,0.000921337843213677,4.48738752706075,"C2orf56"
-0.0554153375803725,6.09806249914863,-4.88271995562382,1.34393734189197e-06,0.000834444391166314,4.45159208540968,"RTEL1"
-0.0492456537267589,6.14805486837318,-4.88700160298838,1.31614644617754e-06,0.000834444391166314,4.41172739955937,"UCKL1"
-0.0408822202565817,6.17172628743824,-4.86287259271234,1.48032185616159e-06,0.000850889002921682,4.26318970439475,"NADSYN1"
-0.0899189996880345,5.51696932237088,-4.705767034674,3.14394495761021e-06,0.00122780744480492,4.2394387561857,"PIGL"
-0.0734623238718868,6.02969919171218,-4.80150405338171,1.99171224795638e-06,0.00101007001241051,4.21893095374192,"THBS3"
-0.0920000176647591,6.0018855856855,-4.79687160411557,2.03656248881858e-06,0.00101007001241051,4.20619522543649,"CHKB-CPT1B"
