"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-0.0643933672469155,6.17476044476384,-5.39340520427089,9.96406777017786e-08,0.001531122550125,6.90642509802662,"RFC2"
-0.0608834985810232,6.25170013548194,-5.31309335708378,1.52214191283925e-07,0.001531122550125,6.41245135262352,"WDR34"
0.116952674948189,5.94004406849986,5.0702254826246,5.30422756494327e-07,0.00184376681395246,5.62509071113204,"CPEB3"
0.0759761295280503,5.91527089068339,5.05574170147872,5.70521509258876e-07,0.00184376681395246,5.58751585836597,"CNNM2"
0.0514707247436039,6.11605257409463,5.06437984268491,5.46267409163587e-07,0.00184376681395246,5.35020008781228,"YPEL2"
0.113478566276697,5.55473947259603,4.91764475703437,1.13281516226056e-06,0.00184376681395246,5.18142195794252,"SUGT1L1"
-0.0681924710424617,6.03688033689065,-4.99107525619243,7.88204247523147e-07,0.00184376681395246,5.09533333819751,"NUDT1"
-0.0464884695154755,6.25654303756816,-5.03688424352668,6.27138678384902e-07,0.00184376681395246,5.04769279794662,"MRTO4"
-0.0633736256481487,5.89309473947852,-4.93791422717919,1.02536093810362e-06,0.00184376681395246,5.04565941421801,"RP9"
0.0411944052116295,6.13839057567067,4.9773811767604,8.43656747208298e-07,0.00184376681395246,4.89736568442338,"FAM160B1"
0.346367013932857,4.92692607077934,4.9114420519625,1.16781380609389e-06,0.00184376681395246,4.83078567025613,"LOC100133545"
-0.0745532163495604,5.92932015827121,-4.89142981211534,1.28798746845192e-06,0.00184376681395246,4.79369536768277,"CCDC34"
-0.143764622423095,5.74690538910136,-4.79259371665275,2.07884251587767e-06,0.00187552971404282,4.52354299426502,"GINS2"
-0.0457706838552046,6.32825204690351,-4.92545650473511,1.09017514113839e-06,0.00184376681395246,4.45612274832516,"MCM3"
-0.0436930039459051,5.94293088685248,-4.82097243076418,1.81340759473015e-06,0.00187552971404282,4.44082365327028,"TOE1"
-0.0508492595453705,6.20359173889708,-4.88441603124852,1.33286160756043e-06,0.00184376681395246,4.37948930291398,"HEATR2"
0.1051290844988,6.33422801043835,4.87807675759098,1.37471429611726e-06,0.00184376681395246,4.23742540382108,"ATP8A1"
-0.053499857593998,6.16131101322121,-4.82365282198614,1.79009704992901e-06,0.00187552971404282,4.14666885267112,"SNRNP40"
-0.0683880875622025,6.14507563086704,-4.80531118168041,1.95556610394787e-06,0.00187552971404282,4.07648905380699,"C19orf48"
0.310856677995334,5.64525656872754,4.67096787917766,3.70416149827606e-06,0.00187552971404282,4.06202214853734,"LOC157627"
-0.108949143775144,5.89173867243967,-4.7158779101617,2.99708348485458e-06,0.00187552971404282,4.03824018488622,"GPX7"
0.187921944671964,5.71127847474469,4.66939114320689,3.73169329105204e-06,0.00187552971404282,4.00463725806359,"JAKMIP3"
-0.0539375374838889,6.15486633741197,-4.77636320188427,2.24707350650634e-06,0.00187552971404282,3.93129638881105,"PSMG3"
0.138121135008601,5.92699880360724,4.69805932569753,3.26052362450133e-06,0.00187552971404282,3.92189078634489,"YPEL4"
-0.0755084475553573,5.83107446248763,-4.65706768296964,3.9537557373485e-06,0.00187552971404282,3.83152568362233,"PSMC3IP"
-0.0981480396089367,6.40243646890942,-4.79810437145686,2.02453306908972e-06,0.00187552971404282,3.8250435915502,"TAGLN2"
-0.0737107856405315,6.09189226973445,-4.73487313416973,2.73882318918306e-06,0.00187552971404282,3.82283741344337,"RNASEH2A"
-0.0511581558405378,6.19607068622501,-4.75819289628857,2.45095811675757e-06,0.00187552971404282,3.80671562659677,"RABL5"
-0.042664149053012,6.3409731783268,-4.78066143744075,2.20128810787124e-06,0.00187552971404282,3.77516796995973,"BUD31"
-0.0383886907221287,6.23287380868956,-4.75782255285566,2.45529334207061e-06,0.00187552971404282,3.75945384867406,"HAT1"
-0.0541914750932655,6.03106476933096,-4.70120772679931,3.21241067008242e-06,0.00187552971404282,3.75930629701125,"NR2C2AP"
-0.0491050554973764,6.54405015340515,-4.77304980636793,2.28299259415456e-06,0.00187552971404282,3.63101647025365,"HMGN2"
-0.0490580923544268,5.90056645128186,-4.61184132480433,4.88262911921454e-06,0.00218286072489685,3.55358278183507,"C16orf55"
0.337377946363217,5.2154925970495,4.5569604118731,6.29265864800643e-06,0.00234436493852951,3.53747768431217,"MIPOL1"
-0.0337453666793675,6.62065170772211,-4.75921937987779,2.43898061265956e-06,0.00187552971404282,3.53317548313808,"PTMA"
-0.0337598362180715,6.19817403316489,-4.69608702097605,3.29101597327658e-06,0.00187552971404282,3.51741649623213,"FTSJ2"
-0.0495339619396509,6.1701630931876,-4.6767091496337,3.60555191248836e-06,0.00187552971404282,3.46012627069251,"BCL7C"
-0.0319060683929671,6.28141174023765,-4.70077189781323,3.2190299390113e-06,0.00187552971404282,3.45518085408684,"EBNA1BP2"
0.107037156647052,6.19150261552295,4.66706132688772,3.77273508965431e-06,0.00187552971404282,3.40010142745825,"FAM123A"
0.422948803765855,4.1258960166468,4.72947744725662,2.80992095115322e-06,0.00187552971404282,3.38989955871777,"SFTPA2"
0.0491212418520925,6.3440907888379,4.68942096301401,3.39611741639227e-06,0.00187552971404282,3.36044104724795,"C20orf194"
0.0497435812966485,6.16370563353025,4.65340300817823,4.02220446578938e-06,0.00187552971404282,3.35979003598149,"ZFC3H1"
0.116050502732963,6.26284236784304,4.6716674697027,3.69200838898596e-06,0.00187552971404282,3.34618085091635,"AATK"
0.112608004811449,6.20045560975051,4.6492076198057,4.10196378456527e-06,0.00187552971404282,3.32611075944564,"NALCN"
