"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
0.116401079777154,5.91527089068339,7.95995410797524,8.66147150365879e-15,1.11281921634974e-10,22.8863068749166,"CNNM2"
0.186534618975797,6.20045560975051,7.90757332834294,1.26888441950946e-14,1.11281921634974e-10,22.1889310575937,"NALCN"
0.174173429070459,5.94004406849986,7.80868818119947,2.5950319780974e-14,1.11281921634974e-10,21.7834392091323,"CPEB3"
0.121453690965111,6.33481469860584,7.81844421602427,2.4189295246179e-14,1.11281921634974e-10,21.434990240116,"FRY"
0.0774604606705234,6.20182194695295,7.79983568420748,2.76573023250258e-14,1.11281921634974e-10,21.4120908807391,"SUFU"
0.0854348477273366,6.20931912327169,7.7117769688823,5.19611952688124e-14,1.30669415802246e-10,20.7876572261312,"WDR37"
0.0618519888347144,6.4839486717605,7.71296088049783,5.15244446093801e-14,1.30669415802246e-10,20.6164430986155,"WAC"
0.0680282833769832,6.18541298238722,7.61063586913079,1.06464884119835e-13,2.14186053872284e-10,20.1091982909589,"STAM"
0.129204206800056,5.90977258540953,7.53849505704108,1.76773780284622e-13,2.73564223982002e-10,19.9432324156622,"CAMK1D"
0.212574225622073,5.74862429028657,7.49673810683556,2.36657589910725e-13,3.17405159588264e-10,19.7773555677523,"RNF150"
0.518946773405915,5.2154925970495,7.45576412025515,3.14704249882629e-13,3.95701256196171e-10,19.2044775577865,"MIPOL1"
-1.21473504292543,3.31308972285556,-7.71412842704475,5.109727539211e-14,1.30669415802246e-10,19.0311796081489,"HOXA2"
-0.439570530489006,4.65501058322935,-7.5842641115371,1.28203423226461e-13,2.24153905841192e-10,18.7457192213945,"RRN3P2"
0.0765222833164918,6.29825158000923,7.426804163265,3.84648636371736e-13,4.34699835758355e-10,18.7420505702029,"ZRANB1"
-0.625524802471449,4.50137338873196,-7.63085909859784,9.2294624291428e-14,2.06309250166105e-10,18.7076624352533,"MIR155HG"
0.0653209980493727,6.41604984434919,7.42520239736648,3.88935134886688e-13,4.34699835758355e-10,18.6633091254478,"ABI1"
0.0886597689798903,6.33218373228611,7.39995503358756,4.63053145433175e-13,4.9030016735919e-10,18.5389770288848,"DIP2C"
0.10254049133215,6.11463997024676,7.35075183910426,6.49635981761233e-13,6.22351270527261e-10,18.4064211688001,"C10orf4"
0.0514016379812396,6.41682309229405,7.3513713758227,6.46879700083797e-13,6.22351270527261e-10,18.1640010785863,"CCNY"
-1.26911444161871,3.56204068338089,-7.57829190616753,1.33703492896625e-13,2.24153905841192e-10,18.0814462572649,"HOXA3"
0.877166539908631,4.19944406616407,7.50460455999753,2.24023793166827e-13,3.17405159588264e-10,18.0150233257675,"SLC25A21"
0.0983704966203831,6.06895804797252,7.26658307054653,1.15445559610088e-12,9.67651833141042e-10,17.9088923135728,"SMAD7"
-0.112930063618902,6.19099416032802,-7.26745301356257,1.14764651353872e-12,9.67651833141042e-10,17.8183910789122,"NPEPL1"
0.21667016935521,6.14064662480669,7.26058822433193,1.20247021714515e-12,9.67651833141042e-10,17.7938061371426,"REPS2"
0.0537778130232889,6.52043577983993,7.28806436968342,9.97394612795279e-13,9.1207203728252e-10,17.6896200389193,"NCOA4"
0.241642459632232,5.58607232766518,7.16752166239621,2.25581339743304e-12,1.62080192605564e-09,17.6203518645196,"SYT15"
0.0719033377417437,6.27238490056687,7.22202832382783,1.56179627977639e-12,1.16371176135339e-09,17.3898160998655,"BTRC"
0.0738866188351128,6.47954035988686,7.22482912029678,1.53247381911975e-12,1.16371176135339e-09,17.2824198500582,"ZMYND11"
0.0587586593717715,6.13839057567067,7.15327915876682,2.4823684046681e-12,1.72207888155561e-09,17.0784668547724,"FAM160B1"
0.187053519287356,6.22903757687403,7.12917255844375,2.91785047541304e-12,1.89359083433418e-09,16.8254179607293,"PDE2A"
0.128362891135345,6.28558061357935,7.13141756744012,2.874311271553e-12,1.89359083433418e-09,16.7723697824358,"NET1"
0.0818283776539896,6.40083112161905,7.11763635108235,3.15201282671095e-12,1.92158163781124e-09,16.614999919272,"FAM190B"
-0.0734029935860026,6.00761154079082,-7.03001361321313,5.6466441134646e-12,3.24569103641945e-09,16.4702243788173,"C20orf20"
0.162011420118182,6.0321901997149,7.03200940314674,5.57251805122872e-12,3.24569103641945e-09,16.4156004768301,"MARCH8"
-0.168123895517333,5.9316849303968,-6.98509805824083,7.59619841691351e-12,4.02158736188068e-09,16.3115449808678,"SLC27A3"
-0.186188814611812,5.53682932418531,-6.94522663371352,9.87131260427268e-12,4.84368456031117e-09,16.1791892754573,"C6orf26"
0.073139096069152,6.3440907888379,7.02203157409365,5.95291551031702e-12,3.32668761768216e-09,16.0295737836723,"C20orf194"
0.147804826710737,6.28327103451072,6.99130711135519,7.29172535888652e-12,3.96472785865078e-09,15.8681289985102,"PLCB1"
0.0545371182847321,6.31181024981522,6.97937293880378,7.88798824972024e-12,4.05950378348576e-09,15.7749408186279,"CCDC6"
0.0625873444792706,6.01818935382556,6.9177841891009,1.18134798744514e-11,5.65865685986222e-09,15.707948504869,"VTI1A"
0.0650220708314455,6.47105170446173,6.97588006826469,8.07138638728653e-12,4.05950378348576e-09,15.6599238711891,"CELF2"
0.0720064188420331,6.08961495110117,6.9053308206246,1.28142325869991e-11,5.85901661784652e-09,15.5263491335054,"NMT2"
-1.19976320126659,3.61352921900623,-7.12281598524681,3.04467583068296e-12,1.9141496363025e-09,15.4438159323512,"HOXA5"
0.0478017028692435,6.26467333492449,6.91032542051789,1.24032455749699e-11,5.80298824365686e-09,15.3677332866759,"HIF1AN"
